iter	Passed	Remaining
0	163	8028
1	171	4114
2	177	2786
3	185	2130
4	191	1727
5	197	1451
6	203	1252
7	209	1101
8	216	984
9	221	886
10	227	806
11	233	739
12	238	679
13	244	628
14	249	583
15	254	541
16	260	505
17	266	473
18	271	442
19	277	416
20	282	390
21	287	366
22	293	344
23	297	322
24	301	301
25	306	282
26	311	265
27	315	248
28	321	233
29	326	217
30	332	203
31	337	189
32	342	176
33	346	163
34	351	150
35	356	138
36	361	126
37	366	115
38	371	104
39	375	93
40	380	83
41	384	73
42	389	63
43	395	53
44	399	44
45	404	35
46	409	26
47	414	17
48	418	8
49	423	0
